#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"108,116,472","+8,861","1,496,823",+13,"101,112,538","+26,031","5,507,111","9,504",,,,,,North America,,,,,,,
,,Asia,,"164,591,582","+134,252","1,443,365",+47,"158,285,366","+58,216","4,862,851","11,151",,,,,,Asia,,,,,,,
,,South America,,"61,200,615","+1,440","1,310,886",+3,"58,093,628","+7,261","1,796,101","10,461",,,,,,South America,,,,,,,
,,Europe,,"210,829,262",,"1,865,015",,"199,745,369","+146,367","9,218,878","6,754",,,,,,Europe,,,,,,,
,,Oceania,,"10,656,295","+47,080","15,233",+51,"10,128,400","+8,675","512,662",184,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,443,974",,"256,424",,"11,588,336",,"599,214","1,004",,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"567,838,921","+191,633","6,387,761",+114,"538,954,343","+246,550","22,496,817","39,058","72,848",819.5,,,,All,,,,,,,
77,Azerbaijan,"794,092",,"9,722 ",,"783,453",,917,,"76,907",942,"6,972,527","675,283","10,325,347 ",Asia,"131,0621",,,89
78,Paraguay,"688,820",,"19,083 ",,"647,415",,"22,322",6,"94,217","2,610","2,646,163","361,942","7,311,023 ",South America,113833,,,"3,053"
79,Sri Lanka,"664,448",,"16,528 ",,"647,454",,466,,"30,767",765,"6,486,117","300,337","21,596,126 ",Asia,"331,3073",,,22
80,Bahrain,"649,401",,"1,506 ",,"636,754",,"11,141",14,"356,410",827,"10,116,267","5,552,104","1,822,060 ",Asia,"31,2100",,,"6,115"
81,Kuwait,"648,216",,"2,556 ",,"641,752",,"3,908",6,"147,347",581,"8,242,720","1,873,671","4,399,236 ",Asia,"71,7211",,,888
82,Dominican Republic,"621,047",,"4,383 ",,"611,734",,"4,930",27,"56,104",396,"3,552,150","320,895","11,069,518 ",North America,"182,5263",,,445
83,Myanmar,"613,816",,"19,434 ",,"592,736",,"1,646",,"11,129",352,"8,457,121","153,340","55,152,811 ",Asia,"902,8387",,,30
84,Palestine,"586,058",,"5,358 ",,"578,920",,"1,780",17,"109,687","1,003","3,078,533","576,181","5,342,994 ",Asia,99972,,,333
85,Estonia,"585,143",,"2,608 ",,"523,576",,"58,959",6,"440,503","1,963","3,424,969","2,578,360","1,328,352 ",Europe,25090,,,"44,385"
86,Cyprus,"545,896",,"1,086 ",,"124,370",,"420,440",60,"445,534",886,"9,477,138","7,734,779","1,225,263 ",Asia,"21,1280",,,"343,143"
