,,Africa,,12443974,,256424,,11588336,,599214,1004,,,,,,Africa,,,,
115,Maldives,183491,,307,,163687,,19497,25,327698,548,2213831,3953700,559939,Asia,"31,8240",,,34820,,
116,Brunei ,182950,,225,,164116,,18609,3,410191,504,717784,1609338,446012,Asia,"21,9821",,,41723,,
117,El Salvador,180970,,4174,,165895,,10901,8,27617,637,2284873,348683,6552869,North America,"361,5703",,,1664,,
118,Guadeloupe,175348,,958,,2250,,172140,19,438082,2393,938039,2343557,400263,North America,24180,,,430067,,
119,Namibia,169253,,4065,,164813,,375,,64241,1543,1062663,403342,2634647,Africa,166482,,,142,,
120,Trinidad and Tobago,169180,,4038,,159041,,6101,18,120095,2866,783252,556003,1408718,North America,83492,,,4331,,
121,Uganda,168763,,3627,,100420,,64716,10,3467,75,2981281,61238,48683641,Africa,"28813,42316",,,1329,,
122,Ghana,167215,,1456,,165153,,606,2,5162,45,2479277,76534,32394265,Africa,"19422,24913",,,19,,
123,Jamaica,144767,,3171,,92326,,49270,,48458,1061,1140129,381634,2987493,North America,219423,,,16492,,
124,Cambodia,136477,22,3056,,133302,11,119,,7939,178,3005631,174844,17190337,Asia,"1265,6256",1,,7,,
125,Rwanda,131880,,1464,,45522,,84894,,9693,108,5618000,412898,13606269,Africa,"1039,2942",,,6239,,
126,Cameroon,120068,,1931,,117791,,346,13,4305,69,1751774,62806,27891953,Africa,"23214,44416",,,12,,
127,Malta,110967,,772,,103488,,6707,4,249961,1739,1999859,4504816,443938,Europe,45750,,,15108,,
128,Angola,101901,,1909,,97149,,2843,,2916,55,1499795,42914,34948891,Africa,"34318,30723",,,81,,
129,DRC,91737,,1376,,50930,,39431,,965,14,846704,8903,95108009,Africa,"1,03769,119112",,,415,,
130,French Guiana,89779,,402,,11254,,78123,1,285508,1278,644972,2051092,314453,South America,47820,,,248441,,
131,Barbados,87584,,479,,85101,,2004,,304014,1663,716065,2485543,288092,North America,36010,,,6956,,
132,Malawi,86931,,2653,,83539,,739,67,4317,132,596813,29638,20136935,Africa,"2327,59034",,,37,,
133,Senegal,86791,,1968,,84603,,220,,4919,112,1125833,63813,17642770,Africa,"2038,96516",,,12,,
134,Channel Islands,85848,,181,,82813,,2854,,484666,1022,1252808,7072896,177128,Europe,29790,,,16113,,
135,Ivory Coast,84583,,806,,83482,,295,,3053,29,1566800,56545,27708913,Africa,"32834,37818",,,11,,
136,Suriname,80919,,1377,,49590,,29952,,135466,2305,238251,398854,597339,South America,74343,,,50142,,
137,French Polynesia,74022,,649,,N/A,N/A,N/A,7,260443,2283,,,284216,Australia/Oceania,4438,,,140291,,
138,Eswatini,73242,,1417,,71768,,57,11,61827,1196,1039151,877191,1184635,Africa,168361,,,48,,
139,Guyana,68913,,1266,,66663,,984,,86761,1594,670095,843648,794283,South America,126271,,,1239,,
140,Fiji,66713,,869,,64320,,1524,,73337,955,587132,645429,909677,Australia/Oceania,"141,0472",,,1675,,
141,New Caledonia,66596,,314,,64483,,1799,9,228782,1079,98964,339978,291089,Australia/Oceania,49273,,,6180,,
142,Madagascar,66289,,1406,,64277,,606,6,2275,48,484927,16641,29141179,Africa,"44020,72660",,,21,,
143,Belize,65994,,680,,64551,,763,6,160050,1649,576016,1396968,412333,North America,66061,,,1850,,
144,Sudan,62795,,4955,,N/A,N/A,N/A,,1367,108,562941,12255,45934880,Africa,"7329,27082",,,381,,
145,Cabo Verde,61922,,409,,61174,,339,23,108962,720,401416,706359,568289,Africa,"91,3891",,,597,,
146,Mauritania,61921,,986,,59383,,1552,,12640,201,892646,182224,4898625,Africa,"794,9685",,,317,,
147,Bhutan,59940,,21,,59845,,74,,75978,27,2303734,2920122,788917,Asia,"1337,5670",,,94,,
148,Syria,55973,,3150,,52780,,43,,3048,172,146269,7964,18366698,Asia,"3285,831126",,,2,,
149,Gabon,48289,,306,,47477,,506,,20701,131,1604748,687930,2332720,Africa,"487,6231",,,217,,
150,Seychelles,45185,,167,,44755,,263,,453724,1677,,,99587,Africa,2596,,,2641,,
151,Curaçao,44782,,280,,44339,,163,3,270652,1692,496693,3001892,165460,North America,45910,,,985,,
152,Papua New Guinea,44761,,662,,43982,,117,7,4817,71,249149,26812,9292286,Australia/Oceania,"20814,03737",,,13,,
153,Andorra,44671,,153,,43802,,716,14,576274,1974,249838,3223009,77517,Europe,25070,,,9237,,
154,Burundi,43222,,38,,N/A,N/A,N/A,,3427,3,345742,27413,12612194,Africa,"292331,90036",,,3363,,
155,Aruba,41787,,224,,41315,,248,1,388034,2080,177885,1651840,107689,North America,34811,,,2303,,
156,Mauritius,39012,,1008,,37157,,847,,30572,790,358675,281079,1276066,Africa,"331,2664",,,664,,
157,Mayotte,37958,,187,,2964,,34807,,132616,653,176919,618114,286224,Africa,"81,5312",,,121608,,
158,Togo,37798,,275,,37243,,280,,4358,32,761844,87831,8673985,Africa,"22931,54211",,,32,,
159,Tanzania,37510,,841,,N/A,N/A,N/A,7,594,13,,,63200163,Africa,"1,68575,149",,,577,,
160,Guinea,37358,,443,,36419,,496,8,2696,32,660107,47632,13858447,Africa,"37131,28321",,,36,,
161,Isle of Man,37239,,110,,26794,,10335,,433264,1280,150753,1753962,85950,Europe,27811,,,120244,,
162,Bahamas,36435,,822,,34913,,700,,90883,2050,241422,602202,400899,North America,114882,,,1746,,
163,Faeroe Islands,34658,,28,,N/A,N/A,N/A,5,703844,569,778000,15799842,49241,Europe,"11,7590",,,547044,,
164,Lesotho,34040,,702,,24155,,9183,,15637,322,431221,198095,2176843,Africa,"643,1015",,,4218,,
165,Haiti,32103,,837,,29895,,1371,,2747,72,132422,11332,11685703,North America,"36413,96188",,,117,,
166,Mali,31200,,737,,30368,,95,,1455,34,710365,33134,21439024,Africa,"68729,09030",,,4,,
167,Cayman Islands,27966,,29,,8553,,19384,1,415579,431,222773,3310444,67294,North America,"22,3200",,,288049,,
168,Saint Lucia,27464,,385,,26913,,166,,148185,2077,209716,1131545,185336,North America,74811,,,896,,
169,Benin,27216,,163,,25506,,1547,5,2131,13,604310,47322,12770055,Africa,"46978,34421",,,121,,
170,Somalia,26900,,1350,,13182,,12368,,1602,80,400466,23842,16796477,Africa,"62412,44242",,,736,,
171,Congo,24604,,386,,20178,,4040,,4246,67,347815,60022,5794770,Africa,"23615,01217",,,697,,
172,Timor-Leste,22975,,133,,22829,,13,,16775,97,271206,198018,1369601,Asia,"6010,2985",,,9,,
173,Solomon Islands,21544,,153,,16357,,5034,1,29873,212,5117,7095,721198,Australia/Oceania,"334,714141",,,6980,,
174,Burkina Faso,20853,,382,,20439,,32,,945,17,248995,11282,22070897,Africa,"1,05857,77789",,,1,,
175,Gibraltar,19862,,105,,16579,,3178,,589884,3118,534283,15867750,33671,Europe,23210,,,94384,,
176,San Marino,19200,,116,,18549,,535,4,563446,3404,152231,4467396,34076,Europe,22940,,,15700,,
177,Grenada,18655,,233,,18266,,156,4,164238,2051,172697,1520421,113585,North America,64871,,,1373,,
178,Nicaragua,18491,,225,,4225,,14041,,2725,33,,,6785116,North America,36730156,,,2069,,
179,Liechtenstein,18335,,85,,17958,,292,,478084,2216,102174,2664181,38351,Europe,24510,,,7614,,
180,Tajikistan,17786,,125,,17264,,397,,1783,13,,,9974043,Asia,56179792,,,40,,
181,South Sudan,17733,,138,,15630,,1965,1,1547,12,410280,35798,11461077,Africa,"64683,05128",,,171,,
182,Bermuda,16722,,141,,16201,,380,,270543,2281,958749,15511479,61809,North America,44380,,,6148,,
