#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
83,Myanmar,"613,838",,"19,434 ",,"592,744",,"1,660",,"11,130",352,"8,463,296","153,449","55,153,806 ",Asia,"902,8387",,,30
84,Palestine,"592,699",,"5,360 ",,"582,977",,"4,362",17,"110,923","1,003","3,078,533","576,146","5,343,319 ",Asia,99972,,,816
85,Estonia,"585,143",,"2,608 ",,"523,576",,"58,959",6,"440,502","1,963","3,424,969","2,578,356","1,328,354 ",Europe,25090,,,"44,385"
86,Cyprus,"545,896",,"1,086 ",,"124,370",,"420,440",60,"445,525",886,"9,477,138","7,734,627","1,225,287 ",Asia,"21,1280",,,"343,136"
87,Venezuela,"530,402",,"5,748 ",,"521,043",,"3,611",36,"18,761",203,"3,359,014","118,812","28,271,662 ",South America,"534,9198",,,128
88,Moldova,"520,321",,"11,567 ",,"504,142",,"4,612",49,"129,599","2,881","3,216,305","801,103","4,014,846 ",Europe,83471,,,"1,149"
89,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,852",232,"3,693,367","34,754","106,271,685 ",Africa,"2064,31829",,,460
90,Libya,"502,642",,"6,431 ",,"490,973",,"5,238",101,"71,177",911,"2,477,219","350,787","7,061,898 ",Africa,"141,0983",,,742
91,Ethiopia,"491,086",,"7,561 ",,"468,107",,"15,418",40,"4,066",63,"5,104,319","42,264","120,772,370 ",Africa,"24615,97324",,,128
92,Honduras,"432,139",,"10,919 ",,"132,498",,"288,722",105,"42,259","1,068","1,420,311","138,893","10,225,957 ",North America,249377,,,"28,234"
93,Réunion,"429,237",,825 ,,"418,572",,"9,840",10,"472,548",908,"1,603,660","1,765,475","908,345 ",Africa,"21,1011",,,"10,833"
94,Armenia,"424,400",,"8,629 ",,"412,661",,"3,110",,"142,678","2,901","3,109,931","1,045,517","2,974,538 ",Asia,73451,,,"1,046"
95,Qatar,"396,344",,680 ,,"388,069",,"7,595",6,"141,158",242,"3,705,011","1,319,540","2,807,805 ",Asia,"74,1291",,,"2,705"
96,Oman,"391,641",,"4,260 ",,"384,669",,"2,712",2,"72,910",793,"25,000,000","4,654,151","5,371,549 ",Asia,"141,2610",,,505
97,Bosnia and Herzegovina,"381,150",,"15,819 ",,N/A,N/A,N/A,,"117,667","4,884","1,802,616","556,497","3,239,218 ",Europe,82052,,,"53,443"
98,Kenya,"336,798",,"5,668 ",,"329,901",,"1,229",2,"5,994",101,"3,797,731","67,590","56,187,389 ",Africa,"1679,91315",,,22
99,Zambia,"327,994",,"4,009 ",,"322,419",,"1,566",4,"16,877",206,"3,589,883","184,720","19,434,171 ",Africa,"594,8485",,,81
